village_officer_domain,village_officer_domain_no,house_address,nic,gender,district
AliF Nagar,AP/20A/4,50/A,41252,M,ampara
AliF Nagar,AP/20A/4,61/E,317855,M,ampara
AliF Nagar,AP/20A/4,68/2,839699,F,ampara
AliF Nagar,AP/20A/4,127/A,245993,M,ampara
AliF Nagar,AP/20A/4,154,396081,F,ampara
Town Division 01,AP/15A,6,372086,F,ampara
Town Division 01,AP/15A,11/A,642302,F,ampara
Town Division 01,AP/15A,94,722568,F,ampara
Town Division 01,AP/15A,99/A,39201,M,ampara
Town Division 01,AP/15A,117/A,880121,F,ampara
Town Division 01,AP/15A,118,607321,F,ampara
Town Division 01,AP/15A,128/A,955102,F,ampara
Town Division 01,AP/15A,223,811504,M,ampara
Town Division 01,AP/15A,235,929570,F,Tangalle
Town Division 04,AP/15A/3,6/A/1,696109,M,Tangalle
Town Division 04,AP/15A/3,35/B,698583,M,Tangalle
Town Division 04,AP/15A/3,106/A,733927,F,Tangalle
Town Division 04,AP/15A/3,115,189556,F,Tangalle
Town Division 04,AP/15A/3,138/B,463880,M,Tangalle
Town Division 04,AP/15A/3,208,15882,M,Tangalle
Town Division 04,AP/15A/3,240/A,81951,F,Tangalle
Town Division 04,AP/15A/3,266/A,808922,F,ampara
Town Division 02,AP/15A/1,11/B,588126,M,ampara
Town Division 02,AP/15A/1,37/1,12279,F,ampara
Town Division 02,AP/15A/1,41/A,937998,F,colombo
Town Division 02,AP/15A/1,95/A,340031,F,colombo
Town Division 02,AP/15A/1,102,674349,M,colombo
Town Division 02,AP/15A/1,143,586154,M,colombo
Town Division 02,AP/15A/1,164/A,757033,F,colombo
Town Division 02,AP/15A/1,232/B/3,379405,F,colombo
Town Division 02,AP/15A/1,240,616409,M,ampara
Town Division 02,AP/15A/1,242/1,584462,F,ampara
Town Division 02,AP/15A/1,251/A,779765,M,ampara
Town Division 03,AP/15A/2,11,729508,M,ampara
Town Division 03,AP/15A/2,42/C,24861,F,ampara
Town Division 03,AP/15A/2,77/A/1,999217,M,ampara
Town Division 03,AP/15A/2,79/2,779672,M,ampara
Town Division 03,AP/15A/2,81/B/3,205182,M,ampara
Town Division 03,AP/15A/2,94/A,578276,M,ampara
Town Division 03,AP/15A/2,96/A,702499,M,ampara
